"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003_TSPAN6",24.1798642539475,0.331573126266524,0.315967411625736,1.04939026642176,0.293998536211657,0.999904704610881
"ENSG00000000005_TNMD",0.537036382697835,-2.00604307117546,1.68893931886036,-1.18775319443038,0.234930659611216,0.999904704610881
"ENSG00000000419_DPM1",48.1393293623131,-0.118644117762322,0.25195624284812,-0.47089175652552,0.637718035116983,0.999904704610881
"ENSG00000000457_SCYL3",23.3424624516279,-0.363646722803067,0.316995782809932,-1.14716580637007,0.251313100645017,0.999904704610881
"ENSG00000000460_C1orf112",4.09792103005048,-0.540392881377091,0.52618087197016,-1.0270097416383,0.30441587698014,0.999904704610881
"ENSG00000000938_FGR",12.690977213839,0.147073174349715,0.433697636135419,0.339114539936743,0.734523445463939,0.999904704610881
"ENSG00000000971_CFH",41.7555030553837,0.689300577933381,0.526843017907693,1.30836046887529,0.190751074153445,0.999904704610881
"ENSG00000001036_FUCA2",24.2488191345485,-0.173365748442098,0.28862180233274,-0.600667541540162,0.548061442085287,0.999904704610881
"ENSG00000001084_GCLC",77.0173892105155,0.0232842224298897,0.252364462039684,0.0922642682796925,0.926488077022739,0.999904704610881
"ENSG00000001167_NFYA",38.8215197058759,0.272108109034014,0.352788214538521,0.771307254098486,0.440524833635099,0.999904704610881
"ENSG00000001460_STPG1",37.654587457896,-0.0316490461491691,0.279646404998564,-0.113175229802549,0.909891633230135,0.999904704610881
"ENSG00000001461_NIPAL3",231.133732856809,0.079444039958354,0.270448239588744,0.293749517760442,0.768949312941334,0.999904704610881
"ENSG00000001497_LAS1L",105.127015244918,-0.0425617652221506,0.252012287124421,-0.168887659041551,0.865885006416186,0.999904704610881
"ENSG00000001561_ENPP4",92.5160170478977,0.355370082682958,0.347600260461071,1.02235275143805,0.306613974502554,0.999904704610881
"ENSG00000001617_SEMA3F",13.4101417662442,-0.169176417434042,0.425823648816249,-0.397292207476822,0.691151993078418,0.999904704610881
"ENSG00000001626_CFTR",5.5648941279506,-0.118181473545368,0.636595300671391,-0.185646160788066,0.852722251673629,0.999904704610881
"ENSG00000001629_ANKIB1",132.156238835138,0.660672547915802,0.280796196473085,2.35285433426136,0.018629930555654,0.999904704610881
"ENSG00000001630_CYP51A1",1.96966088719002,-0.361569384775307,0.856370015554705,-0.422211635400504,0.672870549446593,0.999904704610881
"ENSG00000001631_KRIT1",24.6925980370126,-0.175674263856971,0.28287218191964,-0.621037610219576,0.534574877464539,0.999904704610881
"ENSG00000002016_RAD52",26.5715602352835,0.285798075172645,0.279862033945791,1.02121059846226,0.307154672065764,0.999904704610881
"ENSG00000002079_MYH16",0.752455105963994,0.693509141836903,1.33175755037443,0.52074729491259,0.602542822965647,0.999904704610881
"ENSG00000002330_BAD",106.227009040479,-0.164734201714721,0.307518952823736,-0.535687963951749,0.592174223363783,0.999904704610881
"ENSG00000002549_LAP3",63.3928143488801,0.26986342316058,0.228492638805804,1.18105959374007,0.237579050106754,0.999904704610881
"ENSG00000002586_CD99",129.330951269496,-0.0322304526442698,0.301472014532736,-0.106910263940171,0.914860170416438,0.999904704610881
"ENSG00000002587_HS3ST1",14.7420850197504,-0.153782100056997,0.311211233076874,-0.494140582705157,0.621206898716479,0.999904704610881
"ENSG00000002745_WNT16",3.18579917487719,-0.500462207518175,0.672517435345053,-0.744162427939729,0.456778215335962,0.999904704610881
"ENSG00000002746_HECW1",131.47685203148,-0.516113303892424,0.290204667791473,-1.77844590791792,0.0753306484990821,0.999904704610881
"ENSG00000002822_MAD1L1",29.1414297089495,-0.357151745542362,0.283109621942898,-1.26153163955126,0.2071173680522,0.999904704610881
"ENSG00000002834_LASP1",255.000952307167,-0.267946023058766,0.273054707262438,-0.981290620275733,0.326449446885262,0.999904704610881
"ENSG00000002919_SNX11",41.3628484983481,0.20973015283013,0.259765829916532,0.8073816055696,0.419446661248888,0.999904704610881
"ENSG00000002933_TMEM176A",31.4348878267387,0.886374773570824,0.414415402342195,2.13885576781463,0.0324473512792212,0.999904704610881
"ENSG00000003056_M6PR",62.2374500885124,-0.137529876161131,0.299654142483008,-0.458962038774183,0.64626142666945,0.999904704610881
"ENSG00000003096_KLHL13",21.1462579462075,-0.0489908618797138,0.293824806184684,-0.166734941531521,0.86757861099701,0.999904704610881
"ENSG00000003137_CYP26B1",35.3532838053053,-0.699280320921622,0.494428743111216,-1.41431971879581,0.157268049790567,0.999904704610881
"ENSG00000003147_ICA1",94.8410666991795,-0.393813286746586,0.220114250220065,-1.78913126411789,0.0735936781928892,0.999904704610881
"ENSG00000003249_DBNDD1",184.080801772553,-0.345337296129169,0.315688852986378,-1.09391666149223,0.273991530614751,0.999904704610881
"ENSG00000003393_ALS2",94.0370499596019,-0.0105200657187459,0.215700822866793,-0.048771560436942,0.961101346676979,0.999904704610881
"ENSG00000003400_CASP10",7.6154669572298,0.101702682573149,0.461068980831359,0.220580188217754,0.825419328619744,0.999904704610881
"ENSG00000003402_CFLAR",110.569556477554,0.261805379148045,0.289751535305628,0.903551309475873,0.366233369534955,0.999904704610881
"ENSG00000003436_TFPI",9.8238204364829,0.586824954131889,0.65124927858857,0.901075783767001,0.367548027478462,0.999904704610881
"ENSG00000003509_NDUFAF7",34.9078172664573,0.158115600127035,0.245873722929269,0.643076446898397,0.520174496654592,0.999904704610881
"ENSG00000003756_RBM5",192.991887094758,-0.163217148088817,0.230099843935748,-0.709331850457026,0.478118567716877,0.999904704610881
"ENSG00000003987_MTMR7",50.3817662775192,-0.166753889778658,0.390395644072727,-0.427140754028478,0.669276810761024,0.999904704610881
"ENSG00000003989_SLC7A2",36.8608455013437,0.556951944297303,0.45183542282821,1.23264338331671,0.21770884350988,0.999904704610881
"ENSG00000004059_ARF5",226.404471185429,-0.639090684465702,0.22054838453418,-2.89773459830833,0.00375868511705974,0.999904704610881
"ENSG00000004139_SARM1",22.646249802475,-0.180154166992884,0.381467648977512,-0.472265911606845,0.636736998659249,0.999904704610881
"ENSG00000004142_POLDIP2",157.244067424331,-0.226432964115437,0.208207106359404,-1.08753715506987,0.276799487427259,0.999904704610881
"ENSG00000004399_PLXND1",179.152913255713,-0.148341030758423,0.290637935517109,-0.510398033534375,0.609772634274953,0.999904704610881
"ENSG00000004455_AK2",66.5553711276504,0.349750084280765,0.243354580272656,1.43720362233948,0.150660144044875,0.999904704610881
"ENSG00000004468_CD38",21.9652977685547,0.443613796510479,0.510579189760015,0.868844256498172,0.384932322660295,0.999904704610881
"ENSG00000004478_FKBP4",233.396343307086,-0.112822906775077,0.213693615947759,-0.527965733906894,0.597523119206362,0.999904704610881
"ENSG00000004487_KDM1A",112.056068892065,-0.251191208792673,0.180643751650398,-1.3905336137992,0.164366899421337,0.999904704610881
"ENSG00000004534_RBM6",199.708225366827,0.0431058925953779,0.217187788844673,0.198472910584333,0.842675077376629,0.999904704610881
