"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003_TSPAN6",21.622919030826,-0.0530051007924625,0.291911949010526,-0.181579071950053,0.855913073965222,0.999559230315281
"ENSG00000000005_TNMD",0.550970538727178,1.0038070996547,1.53794326497438,0.652694493038678,0.513953253444013,0.999559230315281
"ENSG00000000419_DPM1",57.1741157080535,0.137400028215416,0.292731196321508,0.469372687099972,0.638803267722309,0.999559230315281
"ENSG00000000457_SCYL3",25.6351819638227,-0.073578905550118,0.254061539551828,-0.28961056317266,0.77211418494061,0.999559230315281
"ENSG00000000460_C1orf112",5.09623948237644,-0.334913862432282,0.46641437245483,-0.718060767873779,0.472719818858879,0.999559230315281
"ENSG00000000938_FGR",10.8237170303134,-0.37913166834659,0.415358093443032,-0.912782667129102,0.361356856049233,0.999559230315281
"ENSG00000000971_CFH",58.6212592079337,-0.478550283032747,0.504272615940044,-0.948991216071993,0.34262507960914,0.999559230315281
"ENSG00000001036_FUCA2",27.554461512633,-0.0384271624172454,0.242988434558406,-0.1581439976231,0.874343331713718,0.999559230315281
"ENSG00000001084_GCLC",89.7059340423652,-0.0833534065743245,0.212738579209571,-0.391811428298635,0.695197550308338,0.999559230315281
"ENSG00000001167_NFYA",38.0036765781773,-0.190831012106972,0.267899115995601,-0.712324157538862,0.476264068072289,0.999559230315281
"ENSG00000001460_STPG1",44.865432064733,0.0188255629172103,0.188066405721497,0.100100615232093,0.920264446902539,0.999559230315281
"ENSG00000001461_NIPAL3",273.018789355663,-0.0753418777012032,0.206378513199165,-0.365066481647218,0.715061780491623,0.999559230315281
"ENSG00000001497_LAS1L",98.4459636085568,-0.0862103780165178,0.290796375276138,-0.296463041998557,0.766876487226651,0.999559230315281
"ENSG00000001561_ENPP4",116.573577191611,-0.0197518261506821,0.332936632706518,-0.0593260825344301,0.952692386839469,0.999559230315281
"ENSG00000001617_SEMA3F",12.1345212736401,-0.131261712009488,0.524198952782809,-0.250404376644899,0.802274645337656,0.999559230315281
"ENSG00000001626_CFTR",6.24358071464221,0.0223598845996999,0.593107177801358,0.0376995683690555,0.96992722014517,0.999559230315281
"ENSG00000001629_ANKIB1",137.969712397631,-0.0078732521916989,0.231527728667698,-0.0340056555515173,0.972872640832971,0.999559230315281
"ENSG00000001630_CYP51A1",2.49701094735261,0.415020321972793,0.867715335709695,0.478290869013341,0.632443194406241,0.999559230315281
"ENSG00000001631_KRIT1",29.297677217443,0.241587682307261,0.224034692699893,1.078349426135,0.280877847448325,0.999559230315281
"ENSG00000002016_RAD52",24.9673026671859,-0.243585097080588,0.337502030476921,-0.721729278891686,0.470460937272709,0.999559230315281
"ENSG00000002079_MYH16",0.937104963945318,2.07941481559686,1.27493240499873,1.63100004944885,0.102890309076116,0.999559230315281
"ENSG00000002330_BAD",97.2420028830321,0.00912672993628405,0.330947537272651,0.027577573205402,0.977999068851027,0.999559230315281
"ENSG00000002549_LAP3",61.9225288541298,-0.0555780801085735,0.224090962285999,-0.248015714429578,0.804122248234871,0.999559230315281
"ENSG00000002586_CD99",97.6847245909698,-0.756869039830098,0.357015569918101,-2.11998888452882,0.0340069826986035,0.999559230315281
"ENSG00000002587_HS3ST1",16.4216613916707,-0.0561615552628071,0.341271631999346,-0.164565554229584,0.869285945241323,0.999559230315281
"ENSG00000002745_WNT16",2.3109940457365,0.301054713787907,0.684053188864749,0.440104247284536,0.659861605896663,0.999559230315281
"ENSG00000002746_HECW1",179.287807366395,0.228580513843542,0.210879113782382,1.08394098279181,0.278390966955587,0.999559230315281
"ENSG00000002822_MAD1L1",31.5304133241708,0.290131517255201,0.264089903672342,1.09860889500406,0.271938696177218,0.999559230315281
"ENSG00000002834_LASP1",246.727294560783,0.0303659283849635,0.178123451238698,0.170476869686693,0.864635123408483,0.999559230315281
"ENSG00000002919_SNX11",41.2503657811796,0.220501146402947,0.25483073853282,0.865284728492629,0.386882530697464,0.999559230315281
"ENSG00000002933_TMEM176A",16.8559844415899,0.257007144634985,0.430884300780157,0.596464396984642,0.550865031455199,0.999559230315281
"ENSG00000003056_M6PR",62.3923914250984,0.137796604126261,0.271540596991404,0.507462256668102,0.611830512663473,0.999559230315281
"ENSG00000003096_KLHL13",16.6404822097031,0.733575679963528,0.337210672630682,2.17542248660365,0.0295984709333469,0.999559230315281
"ENSG00000003137_CYP26B1",51.9511127347193,-0.0576034984810583,0.265221245633413,-0.217190362497119,0.828059995046952,0.999559230315281
"ENSG00000003147_ICA1",96.9575185705843,-0.0683928810071427,0.224817099622731,-0.304215654066857,0.760963599467418,0.999559230315281
"ENSG00000003249_DBNDD1",214.869810266757,0.417787433502926,0.288364798218266,1.44881565324315,0.14738907116806,0.999559230315281
"ENSG00000003393_ALS2",111.2572006919,0.00658963585302188,0.182296813042504,0.0361478390271445,0.971164477204717,0.999559230315281
"ENSG00000003400_CASP10",10.0863710919008,-0.12241658220475,0.358597408774984,-0.341376092546072,0.732820470681243,0.999559230315281
"ENSG00000003402_CFLAR",100.795093185761,-0.148064342501215,0.310820543461395,-0.476366011243414,0.633813644727572,0.999559230315281
"ENSG00000003436_TFPI",7.10946092576945,-0.900652035167218,0.582160987444305,-1.54708414784215,0.121842955928283,0.999559230315281
"ENSG00000003509_NDUFAF7",37.3503848553592,-0.126709941107488,0.27948665735941,-0.453366691292684,0.650284717152325,0.999559230315281
"ENSG00000003756_RBM5",179.950048696012,0.112744162548003,0.213457921222568,0.528179801912559,0.597374546867518,0.999559230315281
