"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003_TSPAN6",24.2760608594073,0.293649512329665,0.309841864823167,0.947739946302144,0.343261859549655,0.998853551545205
"ENSG00000000005_TNMD",0.598041468585259,-0.898457466568414,1.43565914614611,-0.625815305102356,0.531436091844369,0.998853551545205
"ENSG00000000419_DPM1",47.7556978557338,0.0529631920261824,0.215391199193856,0.24589301802677,0.805765048739372,0.998853551545205
"ENSG00000000457_SCYL3",23.4679213174483,-0.376816380053674,0.30747689258984,-1.22551121445191,0.220382667364366,0.998853551545205
"ENSG00000000460_C1orf112",3.98013342682491,-0.388765857779074,0.52082629116512,-0.746440539530716,0.45540133784101,0.998853551545205
"ENSG00000000938_FGR",11.9394726227243,-0.256460326321798,0.343954304791169,-0.745623249220584,0.455895034466354,0.998853551545205
"ENSG00000000971_CFH",37.3990734530352,0.0166573458798783,0.441454088588688,0.0377329065704912,0.969900639021703,0.998853551545205
"ENSG00000001036_FUCA2",24.3783656340475,-0.13486459666119,0.274155063494737,-0.491928162631872,0.622770128443414,0.998853551545205
"ENSG00000001084_GCLC",77.2573936906214,-0.0413424686342413,0.241678699508228,-0.171063766556034,0.864173625973482,0.998853551545205
"ENSG00000001167_NFYA",38.6615149571177,0.0822810379108019,0.336162146320553,0.244765922669775,0.806637681186929,0.998853551545205
"ENSG00000001460_STPG1",37.7877091061616,0.0568547765448038,0.257757729920678,0.220574477290361,0.825423775767306,0.998853551545205
"ENSG00000001461_NIPAL3",232.593754344715,0.0815461686012723,0.262376579000611,0.310798200479177,0.755954037795009,0.998853551545205
"ENSG00000001497_LAS1L",105.422572759122,-0.118167330752716,0.234634896113907,-0.503622149602801,0.614526924603646,0.998853551545205
"ENSG00000001561_ENPP4",93.177406461636,0.375864373888033,0.336982839682457,1.11538134773336,0.264687039046966,0.998853551545205
"ENSG00000001617_SEMA3F",13.1561043826574,-0.448639616434296,0.390488819282099,-1.14891795688057,0.25058981242833,0.998853551545205
"ENSG00000001626_CFTR",5.29027826890969,-0.157654996953113,0.604404766363374,-0.260843404498119,0.794213270822164,0.998853551545205
"ENSG00000001629_ANKIB1",130.715357686615,0.472080484838186,0.26477168869879,1.78297191500423,0.0745908752060405,0.998853551545205
"ENSG00000001630_CYP51A1",1.97004846639254,-0.440972904510514,0.831140735019644,-0.530563460471097,0.595721322022709,0.998853551545205
"ENSG00000001631_KRIT1",24.6082285831958,-0.295510367547748,0.254505830577585,-1.16111433234007,0.245595406934377,0.998853551545205
"ENSG00000002016_RAD52",26.2275282083812,0.0364070896535726,0.236540580496617,0.153914772582091,0.877676936065535,0.998853551545205
"ENSG00000002079_MYH16",0.870422818379445,0.760091364611682,1.27401505032485,0.596610977568809,0.55076714038025,0.998853551545205
"ENSG00000002330_BAD",106.80702546069,-0.159999286608312,0.29868630013802,-0.535676683310811,0.592182020986729,0.998853551545205
"ENSG00000002549_LAP3",63.189715652913,0.109822430052866,0.205078390165256,0.535514395077752,0.592294206214708,0.998853551545205
"ENSG00000002586_CD99",130.264873325072,-0.0478074795598834,0.29503867054245,-0.162038011735838,0.871275920361901,0.998853551545205
"ENSG00000002587_HS3ST1",14.6816026678484,-0.000219403465850106,0.293063525804585,-0.00074865497249359,0.999402659811879,0.999886901877282
"ENSG00000002745_WNT16",2.98384293198493,-0.0373587634296259,0.697374970863894,-0.0535705538490241,0.957277317436103,0.998853551545205
"ENSG00000002746_HECW1",125.703690530032,-0.177673628505062,0.196509130426529,-0.904149482110148,0.365916143274705,0.998853551545205
"ENSG00000002822_MAD1L1",29.1492984002832,-0.251884265285623,0.269092568697549,-0.9360506182121,0.349247126492992,0.998853551545205
"ENSG00000002834_LASP1",253.88771544126,-0.0875877640069471,0.250430185554762,-0.349749227765492,0.72652690562675,0.998853551545205
"ENSG00000002919_SNX11",41.6453089590413,0.164855633193438,0.25419258540848,0.648546191575651,0.516631744998851,0.998853551545205
"ENSG00000002933_TMEM176A",28.430058106038,0.243177538572391,0.317073500782885,0.766943746393069,0.44311496231867,0.998853551545205
"ENSG00000003056_M6PR",61.2943272690156,0.0991657385977507,0.25361875987217,0.391003168092663,0.695794894111027,0.998853551545205
"ENSG00000003096_KLHL13",21.063052703068,-0.00611981239045707,0.278119983334925,-0.0220042167307601,0.982444591888564,0.998853551545205
"ENSG00000003137_CYP26B1",33.1863907246217,-0.311587776700257,0.43392733417018,-0.71806441347172,0.472717571125994,0.998853551545205
"ENSG00000003147_ICA1",95.2749132033625,-0.305429787582268,0.211865090883378,-1.4416239424285,0.149408490374413,0.998853551545205
"ENSG00000003249_DBNDD1",184.720595966672,-0.249537184578703,0.304818466287444,-0.818641953087543,0.412990723652571,0.998853551545205
"ENSG00000003393_ALS2",94.2093170165677,0.0863576737199555,0.189632047259806,0.455395989063183,0.648824380318238,0.998853551545205
"ENSG00000003400_CASP10",7.63224293608984,-0.0212274722873771,0.446056533778492,-0.0475891970633446,0.96204364177041,0.998853551545205
