CARNS1	4.85332290639985e-05
NAMPT	0.003647267553204
TSPAN15	0.003647267553204
MAG	0.003647267553204
RNASE1	0.003647267553204
MYRF	0.0045125035363118
MOG	0.0045125035363118
NACAD	0.0047628506440392
TNFSF10	0.0070861610448841
GJB1	0.0070861610448841
LIMS2	0.0100965633560758
AZIN2	0.0103076639330731
CCL2	0.0104246235810336
SELPLG	0.0142222775164505
DPYSL5	0.0142222775164505
CNP	0.0181219512349358
FA2H	0.0196858443644849
NPY	0.0196858443644849
EMP1	0.0207098618114563
KLK6	0.0207098618114563
PLOD2	0.0235451331933092
OSMR	0.0264171823960594
CYB5R2	0.0264171823960594
PLD4	0.0264171823960594
COL9A2	0.02885425328827
HSPA2	0.02885425328827
PACSIN3	0.0380275283661499
CNTN2	0.0380275283661499
CDC42EP1	0.0392008298994373
TF	0.0401268737258636
ERBB3	0.0404286925093314
AATK	0.0416556848997722
GPR37	0.0428871006363379
PNISR	0.0443859091363209
