"","up.reg","down.reg"
"Exp. 1","NAMPT, CCL2, PNISR, EMP1, OSMR, PLOD2","COL9A2, ERBB3, LIMS2, TF, TSPAN15, FA2H, MAG, SELPLG, TNFSF10, NPY, MYRF, HSPA2, CDC42EP1, RNASE1, NACAD, AZIN2, DPYSL5, PACSIN3, CYB5R2, PLD4, KLK6, GJB1, GPR37, CARNS1, CNP, PRR18, AATK, CNTN2, MOG, PRKCQ-AS1"
"Exp. 2","",""
"Exp. 3","",""
"Exp. 4","",""
"Exp. 5","",""
"Exp. 6","",""
