"","up.reg","down.reg"
"Exp. 1","FKBP5, NAMPT, EMP1, OSMR, PLOD2, TNFRSF11B, THBD, ZNNT1","COL9A2, LIMS2, TSPAN15, FA2H, MAG, SELPLG, DUSP4, TNFSF10, NPY, MYRF, HSPA2, RNASE1, ACY3, EGR4, NACAD, AZIN2, DPYSL5, PACSIN3, CYB5R2, PLD4, HR, GJB1, CARNS1, CNP, PRR18, AATK, SPRY4, GJC2, LBH, ETV5"
"Exp. 2","",""
"Exp. 3","",""
"Exp. 4","",""
"Exp. 5","",""
"Exp. 6","",""
