NPY	0.0004128206015028
CARNS1	0.0004128206015028
EMP1	0.0011310337376369
NACAD	0.0063252805783185
OSMR	0.0077393321104378
TSPAN15	0.0077393321104378
DUSP4	0.0077393321104378
DPYSL5	0.0077393321104378
GJB1	0.0077393321104378
ETV5	0.0077393321104378
COL9A2	0.0088081174427436
MAG	0.0088081174427436
FKBP5	0.0121088788246266
AZIN2	0.0138954258058028
MYRF	0.0142303889292319
CYB5R2	0.0188607309158749
RNASE1	0.0203264621505373
FA2H	0.0221314311631041
TNFRSF11B	0.0234049889741043
LIMS2	0.0234049889741043
SELPLG	0.0234049889741043
TNFSF10	0.0234049889741043
LBH	0.0234049889741043
HR	0.0237331906354406
AATK	0.0246552309456508
PLD4	0.0253046864471653
EGR4	0.0281230024244899
CNP	0.0281230024244899
NAMPT	0.0282358313341708
PACSIN3	0.0320210474224965
ACY3	0.0384827498095516
THBD	0.0395522587251408
HSPA2	0.0395522587251408
GJC2	0.04604528814767
PLOD2	0.0484117949309323
SPRY4	0.0484117949309323
